failed_gates,family,filters,name,oos_fills,oos_liquidations,oos_max_drawdown,oos_round_trips,oos_sharpe,oos_sortino,oos_total_return,oos_volatility,reject_top,replay_survivor,success_candidate,train_fills,train_liquidations,train_max_drawdown,train_round_trips,train_sharpe,train_sortino,train_total_return,train_volatility,val_fills,val_liquidations,val_max_drawdown,val_round_trips,val_sharpe,val_sortino,val_total_return,val_volatility
"train_positive,val_positive,oos_return_beats_incumbent,oos_sharpe_gt_1,oos_trades_not_starved",residual_pair_momentum_spread,"{""adaptive_lookback_bars"": 12, ""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 8, ""entry_days_of_month"": [], ""entry_hours"": [0, 1, 2, 13, 14, 15, 16, 20, 21], ""family"": ""residual_pair_momentum_spread"", ""flow_lookback_bars"": 0, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 24, ""long_allocation_scale"": 0.5, ""lookback_bars"": 48, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.0, ""name"": ""fresh_pair_resid_mom_spread_lb48_z200_h24_sc05_st100_asiaus"", ""oi_rank_min"": 0.0, ""rv_lookback_bars"": 24, ""sharpe_lookback_bars"": 0, ""sharpe_rank_min"": 0.0, ""short_allocation_scale"": 0.5, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.03, ""target_allocation"": 0.008, ""threshold"": 2.0, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_pair_resid_mom_spread_lb48_z200_h24_sc05_st100_asiaus,12,0,0.00010085919077547665,3,0.7802105002900516,0.26024597831054785,4.575583894395052e-05,0.0003227569680545364,"{""cooldown"": 16, ""entry_hour_block"": 956, ""fill_or_min_notional"": 25, ""signal_missing"": 537}",False,False,68,0,0.0010943940417879698,17,-1.3787670313241105,-0.36370407505942604,-0.0008584694220102884,0.0006228334215784739,24,0,0.0004804167498997798,6,-2.8702423685181007,-1.068449811248339,-0.0003093232995284856,0.0006672036606485769
"train_positive,val_positive,oos_return_beats_incumbent,oos_sharpe_gt_1,oos_trades_not_starved",residual_pair_momentum_spread,"{""adaptive_lookback_bars"": 12, ""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 8, ""entry_days_of_month"": [], ""entry_hours"": [0, 1, 2, 13, 14, 15, 16, 20, 21], ""family"": ""residual_pair_momentum_spread"", ""flow_lookback_bars"": 0, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 24, ""long_allocation_scale"": 0.5, ""lookback_bars"": 48, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.0, ""name"": ""fresh_pair_resid_mom_spread_lb48_z200_h24_sc05_st60_asiaus"", ""oi_rank_min"": 0.0, ""rv_lookback_bars"": 24, ""sharpe_lookback_bars"": 0, ""sharpe_rank_min"": 0.0, ""short_allocation_scale"": 0.5, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.006, ""take_profit_pct"": 0.03, ""target_allocation"": 0.008, ""threshold"": 2.0, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_pair_resid_mom_spread_lb48_z200_h24_sc05_st60_asiaus,12,0,0.00012963460130150487,3,-0.8519265815090975,-0.21704472108971795,-3.692705618063563e-05,0.00023847937823314583,"{""cooldown"": 16, ""entry_hour_block"": 965, ""fill_or_min_notional"": 27, ""signal_missing"": 544}",False,False,68,0,0.0009933387469043546,17,-1.2872504245790581,-0.3066909260719619,-0.0007573902595741089,0.0005885339106956785,24,0,0.000516819545013459,6,-5.266433665361594,-1.8326060991229953,-0.0005168195450134805,0.0006076550496514911
"train_positive,val_positive,oos_return_beats_incumbent,oos_sharpe_gt_1",residual_pair_momentum_spread,"{""adaptive_lookback_bars"": 12, ""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 8, ""entry_days_of_month"": [], ""entry_hours"": [0, 1, 2, 13, 14, 15, 16, 20, 21], ""family"": ""residual_pair_momentum_spread"", ""flow_lookback_bars"": 0, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 24, ""long_allocation_scale"": 0.5, ""lookback_bars"": 12, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.0, ""name"": ""fresh_pair_resid_mom_spread_lb12_z100_h24_sc05_st60_asiaus"", ""oi_rank_min"": 0.0, ""rv_lookback_bars"": 24, ""sharpe_lookback_bars"": 0, ""sharpe_rank_min"": 0.0, ""short_allocation_scale"": 0.5, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.006, ""take_profit_pct"": 0.03, ""target_allocation"": 0.008, ""threshold"": 1.0, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_pair_resid_mom_spread_lb12_z100_h24_sc05_st60_asiaus,120,0,0.0006602212008517037,30,-0.40617723206630757,-0.3910669261149866,-8.766476565136294e-05,0.0011859228098782793,"{""cooldown"": 240, ""entry_hour_block"": 501, ""fill_or_min_notional"": 82, ""signal_missing"": 190}",False,False,724,0,0.00526964701719184,181,-3.5168526538099822,-2.857195540026467,-0.0052102580810562404,0.0014852401625157284,120,0,0.0008393988966178777,30,-2.402341975172201,-2.325953543018128,-0.0006191231116466911,0.0015954388004444599
"val_positive,oos_return_beats_incumbent,oos_sharpe_gt_1,oos_trades_not_starved",residual_pair_momentum_spread,"{""adaptive_lookback_bars"": 12, ""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 8, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""residual_pair_momentum_spread"", ""flow_lookback_bars"": 0, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 24, ""long_allocation_scale"": 0.5, ""lookback_bars"": 48, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.0, ""name"": ""fresh_pair_resid_mom_spread_lb48_z200_h24_sc05_st100_all"", ""oi_rank_min"": 0.0, ""rv_lookback_bars"": 24, ""sharpe_lookback_bars"": 0, ""sharpe_rank_min"": 0.0, ""short_allocation_scale"": 0.5, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.03, ""target_allocation"": 0.008, ""threshold"": 2.0, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_pair_resid_mom_spread_lb48_z200_h24_sc05_st100_all,12,0,0.00012068474963966035,3,-1.2952799442956404,-0.38001808089853584,-8.866741205437734e-05,0.00037663231550781585,"{""cooldown"": 16, ""fill_or_min_notional"": 73, ""signal_missing"": 1442}",False,False,100,0,0.001114548675371829,25,0.014812568879309707,0.005889786845647937,1.1169727410553776e-05,0.000774392309695235,24,0,0.000485467963011665,6,-2.7563781296761287,-1.0775437548400326,-0.0003143746147948878,0.0007061045059779193
"train_positive,val_positive,oos_return_beats_incumbent,oos_sharpe_gt_1,oos_trades_not_starved",residual_pair_momentum_spread,"{""adaptive_lookback_bars"": 12, ""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 16, ""entry_days_of_month"": [], ""entry_hours"": [0, 1, 2, 13, 14, 15, 16, 20, 21], ""family"": ""residual_pair_momentum_spread"", ""flow_lookback_bars"": 0, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 48, ""long_allocation_scale"": 0.5, ""lookback_bars"": 48, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.0, ""name"": ""fresh_pair_resid_mom_spread_lb48_z200_h48_sc05_st60_asiaus"", ""oi_rank_min"": 0.0, ""rv_lookback_bars"": 24, ""sharpe_lookback_bars"": 0, ""sharpe_rank_min"": 0.0, ""short_allocation_scale"": 0.5, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.006, ""take_profit_pct"": 0.03, ""target_allocation"": 0.008, ""threshold"": 2.0, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_pair_resid_mom_spread_lb48_z200_h48_sc05_st60_asiaus,12,0,0.00020865544895095391,3,-2.4909058593023112,-0.761117818905336,-0.00011595108744166804,0.0002561423581156081,"{""cooldown"": 32, ""entry_hour_block"": 946, ""fill_or_min_notional"": 27, ""signal_missing"": 534}",False,False,64,0,0.0010979768533445386,16,-1.306290934016333,-0.3420991317177238,-0.0008620530797663895,0.0006601174380968665,24,0,0.0005743307421131249,6,-6.7379608433413205,-2.028265034951459,-0.000574330742113105,0.0005278237214855124
"train_positive,val_positive,oos_return_beats_incumbent,oos_sharpe_gt_1,oos_trades_not_starved",residual_pair_momentum_spread,"{""adaptive_lookback_bars"": 12, ""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 24, ""entry_days_of_month"": [], ""entry_hours"": [0, 1, 2, 13, 14, 15, 16, 20, 21], ""family"": ""residual_pair_momentum_spread"", ""flow_lookback_bars"": 0, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 72, ""long_allocation_scale"": 0.5, ""lookback_bars"": 48, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.0, ""name"": ""fresh_pair_resid_mom_spread_lb48_z200_h72_sc05_st60_asiaus"", ""oi_rank_min"": 0.0, ""rv_lookback_bars"": 24, ""sharpe_lookback_bars"": 0, ""sharpe_rank_min"": 0.0, ""short_allocation_scale"": 0.5, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.006, ""take_profit_pct"": 0.03, ""target_allocation"": 0.008, ""threshold"": 2.0, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_pair_resid_mom_spread_lb48_z200_h72_sc05_st60_asiaus,12,0,0.00020865544895095391,3,-2.4909058593023112,-0.761117818905336,-0.00011595108744166804,0.0002561423581156081,"{""cooldown"": 48, ""entry_hour_block"": 938, ""fill_or_min_notional"": 25, ""signal_missing"": 528}",False,False,64,0,0.0009578862065216206,16,-1.0708918963342706,-0.3067138588855162,-0.0007219293459005405,0.0006742465839886261,20,0,0.0004922917015455823,5,-6.1888226865463425,-1.6233349816892846,-0.000492291701545633,0.0004925515809793813
"train_positive,val_positive,oos_return_beats_incumbent,oos_sharpe_gt_1,oos_trades_not_starved",residual_pair_momentum_spread,"{""adaptive_lookback_bars"": 12, ""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 16, ""entry_days_of_month"": [], ""entry_hours"": [0, 1, 2, 13, 14, 15, 16, 20, 21], ""family"": ""residual_pair_momentum_spread"", ""flow_lookback_bars"": 0, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 48, ""long_allocation_scale"": 0.5, ""lookback_bars"": 48, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.0, ""name"": ""fresh_pair_resid_mom_spread_lb48_z200_h48_sc05_st100_asiaus"", ""oi_rank_min"": 0.0, ""rv_lookback_bars"": 24, ""sharpe_lookback_bars"": 0, ""sharpe_rank_min"": 0.0, ""short_allocation_scale"": 0.5, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.03, ""target_allocation"": 0.008, ""threshold"": 2.0, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_pair_resid_mom_spread_lb48_z200_h48_sc05_st100_asiaus,12,0,0.0002735675300845486,3,-2.266638015340929,-0.6456182900262505,-0.00018086578376930174,0.0004390687279361012,"{""cooldown"": 32, ""entry_hour_block"": 928, ""fill_or_min_notional"": 25, ""signal_missing"": 527}",False,False,64,0,0.0012933029677619221,16,-1.5051303324213654,-0.4589389216713011,-0.0010574253269103329,0.0007028351858209193,20,0,0.0004799075613480535,5,-1.4698835618540833,-0.5793242033959976,-0.0001502761952461018,0.0006328402898999187
"train_positive,val_positive,oos_return_beats_incumbent,oos_sharpe_gt_1,oos_trades_not_starved",residual_pair_momentum_spread,"{""adaptive_lookback_bars"": 12, ""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 24, ""entry_days_of_month"": [], ""entry_hours"": [0, 1, 2, 13, 14, 15, 16, 20, 21], ""family"": ""residual_pair_momentum_spread"", ""flow_lookback_bars"": 0, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 72, ""long_allocation_scale"": 0.5, ""lookback_bars"": 48, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.0, ""name"": ""fresh_pair_resid_mom_spread_lb48_z200_h72_sc05_st100_asiaus"", ""oi_rank_min"": 0.0, ""rv_lookback_bars"": 24, ""sharpe_lookback_bars"": 0, ""sharpe_rank_min"": 0.0, ""short_allocation_scale"": 0.5, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.01, ""take_profit_pct"": 0.03, ""target_allocation"": 0.008, ""threshold"": 2.0, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_pair_resid_mom_spread_lb48_z200_h72_sc05_st100_asiaus,12,0,0.0002735675300845486,3,-2.266638015340929,-0.6456182900262505,-0.00018086578376930174,0.0004390687279361012,"{""cooldown"": 48, ""entry_hour_block"": 920, ""fill_or_min_notional"": 25, ""signal_missing"": 519}",False,False,64,0,0.0012630139074597739,16,-1.4095551851366823,-0.48001213397630077,-0.001027129112844194,0.0007289594510007931,20,0,0.0005843379883422007,5,-2.4279253633296167,-1.0098927744774282,-0.00025471040494229324,0.0006494657529602387
"train_positive,val_positive,oos_return_beats_incumbent,oos_sharpe_gt_1",residual_pair_momentum_spread,"{""adaptive_lookback_bars"": 12, ""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 8, ""entry_days_of_month"": [], ""entry_hours"": [0, 1, 2, 13, 14, 15, 16, 20, 21], ""family"": ""residual_pair_momentum_spread"", ""flow_lookback_bars"": 0, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 24, ""long_allocation_scale"": 0.5, ""lookback_bars"": 12, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.0, ""name"": ""fresh_pair_resid_mom_spread_lb12_z075_h24_sc05_st60_asiaus"", ""oi_rank_min"": 0.0, ""rv_lookback_bars"": 24, ""sharpe_lookback_bars"": 0, ""sharpe_rank_min"": 0.0, ""short_allocation_scale"": 0.5, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.006, ""take_profit_pct"": 0.03, ""target_allocation"": 0.008, ""threshold"": 0.75, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_pair_resid_mom_spread_lb12_z075_h24_sc05_st60_asiaus,156,0,0.0008417169687876684,39,-0.9028200093933443,-0.9895181769231415,-0.00021130688819104293,0.0012870935500734434,"{""cooldown"": 304, ""entry_hour_block"": 355, ""fill_or_min_notional"": 89, ""signal_missing"": 83}",False,False,896,0,0.008400726986043265,224,-5.444568366030003,-4.556899162531402,-0.008400726986043217,0.0015494287593319739,160,0,0.0009487413397158094,40,-2.760764444955026,-2.891877395380827,-0.0007044794553712208,0.0015798483522560885
"train_positive,val_positive,oos_return_beats_incumbent,oos_sharpe_gt_1,oos_trades_not_starved",residual_pair_momentum_spread,"{""adaptive_lookback_bars"": 12, ""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 16, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""residual_pair_momentum_spread"", ""flow_lookback_bars"": 0, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 48, ""long_allocation_scale"": 0.5, ""lookback_bars"": 48, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.0, ""name"": ""fresh_pair_resid_mom_spread_lb48_z200_h48_sc05_st60_all"", ""oi_rank_min"": 0.0, ""rv_lookback_bars"": 24, ""sharpe_lookback_bars"": 0, ""sharpe_rank_min"": 0.0, ""short_allocation_scale"": 0.5, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.006, ""take_profit_pct"": 0.03, ""target_allocation"": 0.008, ""threshold"": 2.0, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_pair_resid_mom_spread_lb48_z200_h48_sc05_st60_all,12,0,0.0002451238268780799,3,-5.183383042747485,-0.6979485505762149,-0.0002451238268781353,0.0002602409116347255,"{""cooldown"": 43, ""fill_or_min_notional"": 75, ""signal_missing"": 1460}",False,False,96,0,0.0013658355702836824,24,-0.6815536778616326,-0.25508465807667496,-0.0005934091417030274,0.0008704732013304211,24,0,0.000569690367505973,6,-6.584526082825509,-2.030814178402583,-0.0005696903675059817,0.0005357571960025157
"train_positive,val_positive,oos_return_beats_incumbent,oos_sharpe_gt_1,oos_trades_not_starved",residual_pair_momentum_spread,"{""adaptive_lookback_bars"": 12, ""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 24, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""residual_pair_momentum_spread"", ""flow_lookback_bars"": 0, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 72, ""long_allocation_scale"": 0.5, ""lookback_bars"": 48, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.0, ""name"": ""fresh_pair_resid_mom_spread_lb48_z200_h72_sc05_st60_all"", ""oi_rank_min"": 0.0, ""rv_lookback_bars"": 24, ""sharpe_lookback_bars"": 0, ""sharpe_rank_min"": 0.0, ""short_allocation_scale"": 0.5, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.006, ""take_profit_pct"": 0.03, ""target_allocation"": 0.008, ""threshold"": 2.0, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_pair_resid_mom_spread_lb48_z200_h72_sc05_st60_all,12,0,0.0002451238268780799,3,-5.183383042747485,-0.6979485505762149,-0.0002451238268781353,0.0002602409116347255,"{""cooldown"": 59, ""fill_or_min_notional"": 73, ""signal_missing"": 1446}",False,False,92,0,0.000962915538775342,23,-0.4452001017162747,-0.19072405328515332,-0.0003649280088285911,0.000819183971428637,24,0,0.0005672154040907117,6,-6.586255148695941,-1.9945686783304615,-0.0005672154040906596,0.0005332890582801945
"train_positive,val_positive,oos_return_beats_incumbent,oos_sharpe_gt_1",residual_pair_momentum_spread,"{""adaptive_lookback_bars"": 12, ""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 24, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""residual_pair_momentum_spread"", ""flow_lookback_bars"": 0, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 72, ""long_allocation_scale"": 0.5, ""lookback_bars"": 48, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.0, ""name"": ""fresh_pair_resid_mom_spread_lb48_z150_h72_sc05_st60_all"", ""oi_rank_min"": 0.0, ""rv_lookback_bars"": 24, ""sharpe_lookback_bars"": 0, ""sharpe_rank_min"": 0.0, ""short_allocation_scale"": 0.5, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.006, ""take_profit_pct"": 0.03, ""target_allocation"": 0.008, ""threshold"": 1.5, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_pair_resid_mom_spread_lb48_z150_h72_sc05_st60_all,48,0,0.00041877179574067346,12,-2.1473333341263974,-1.2238065245521303,-0.0002945992308316381,0.0007548850793666295,"{""cooldown"": 264, ""fill_or_min_notional"": 164, ""signal_missing"": 864}",False,False,240,0,0.0028493792659794867,60,-2.53730331778506,-1.4594771363637014,-0.0027028201768982685,0.0010665730117691654,60,0,0.001328447385630767,15,-9.281907416676896,-5.555521628397209,-0.0012896707654003192,0.0008606947801973107
